"Folder","Test Title","Pre-condition","Steps","Expected","Priority","Test Data","AT Status","QA Responsibility"
"PDT-3418/UC1a","[EC-UC1a-001] [Video player] Verify first tap reveals controls without toggling playback (mobile, playing)","- a video / recorded LS is playing on a mobile surface (iOS)
- the controls overlay is hidden
- currentTime is advancing (position 0:30)","1. Tap anywhere on the player surface (first tap) at position 0:30
2. Assert: the controls overlay is visible
3. Assert: playback continues — currentTime keeps advancing past 0:30 and video.paused is false
4. Assert: the central button icon is PAUSE","On mobile, the first tap on a playing video/recorded LS reveals the controls overlay while playback continues uninterrupted (currentTime keeps advancing, video.paused===false) and the central button shows the PAUSE icon — the tap does not toggle playback.","P1","surface: community feed
platform: mobile (iOS)
viewport: 390x844
play_state: playing
position: 0:30
overlay: hidden","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-002] [Video player] Verify first tap never pauses the media (mobile accidental-interrupt guard)","- a video / recorded LS is playing on a mobile surface (iOS)
- the controls overlay is hidden
- position 0:30","1. Tap anywhere on the player surface (first tap) at position 0:30
2. Assert: video.paused is false — currentTime keeps advancing, the tap did NOT pause
3. Assert: the central button icon is PAUSE, not PLAY (a PLAY icon would be the desktop 1-Step-Pause class)","On mobile, a first tap that PAUSES the media (currentTime stops / play icon shows) is the wrong class — that is the desktop 1-Step-Pause behaviour (BR-09); on mobile a reveal that toggles playback is the accidental-interrupt regression this story exists to prevent (BR-10).","P1","surface: community feed
platform: mobile (iOS)
viewport: 390x844
play_state: playing
position: 0:30
overlay: hidden","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-003] [Video player] Verify first tap is never a no-op (overlay must appear)","- a video / recorded LS is playing on a mobile surface (iOS)
- the controls overlay is hidden
- position 0:30","1. Tap anywhere on the player surface (first tap) at position 0:30
2. Assert: the controls overlay is visible — the tap was not swallowed as a no-op
3. Assert: playback also did not pause (video.paused is false)","The overlay must actually appear — a first tap that neither reveals the controls nor pauses (a no-op) is a failure.","P1","surface: community feed
platform: mobile (iOS)
viewport: 390x844
play_state: playing
position: 0:30
overlay: hidden","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-004] [Video player] Verify tap outside the central button dismisses the overlay and playback continues","- the controls overlay is visible over a playing video / recorded LS
- the central button's rendered hit-target is 64x64px (FU-2 resolved)","1. Tap the player surface OUTSIDE the central button's 64x64px tap target
2. Assert: the overlay is dismissed (no longer visible)
3. Assert: video.paused is false — playback continues uninterrupted, state stays playing","Tapping outside the 64x64px central button dismisses the overlay while playback continues uninterrupted (state stays playing) — the dismiss is not an implicit pause.","P1","surface: community feed
platform: mobile (iOS)
play_state: playing
overlay: visible
hit_target: 64x64px
tap_location: outside the central button","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-005] [Video player] Verify a tap just inside the 64x64px central button pauses instead of dismissing (boundary)","- the controls overlay is visible over a playing video / recorded LS
- the central button's rendered hit-target is 64x64px (FU-2 resolved)","1. Tap just INSIDE the rendered 64x64px central button
2. Assert: video.paused becomes true (state transitions playing -> paused) — this is a pause, not a dismiss
3. Assert: the overlay is NOT dismissed by this tap","A tap just INSIDE the rendered 64x64px central button pauses (playing -> paused) instead of dismissing — the pause-vs-dismiss boundary (FU-2 resolved: 64x64px; assert against the rendered target, which may be native).","P1","surface: community feed
platform: mobile (iOS)
play_state: playing
overlay: visible
hit_target: 64x64px
tap_location: just inside the central button","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-006] [Video player] Verify tap-outside never implicitly pauses the media","- the controls overlay is visible over a playing video / recorded LS
- the central button's rendered hit-target is 64x64px (FU-2 resolved)","1. Tap the player surface OUTSIDE the 64x64px central button
2. Assert: video.paused stays false — the tap-outside did NOT transition playing -> paused","A tap-outside that transitions playing -> paused is a failure — dismissing the overlay must never implicitly pause the media (BR-10).","P1","surface: community feed
platform: mobile (iOS)
play_state: playing
overlay: visible
hit_target: 64x64px
tap_location: outside the central button","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-007] [Video player] Verify overlay auto-dismisses after 1s of no action (playing)","- the controls overlay is visible over a playing video / recorded LS
- no further user interaction occurs","1. Reveal the overlay while playing, then take no action
2. Advance the idle timer to 900ms; Assert: the overlay is still visible
3. Advance the idle timer to 1000ms; Assert: the overlay is auto-dismissed
4. Assert: playback continues throughout — currentTime is still advancing","After exactly 1s (1000ms) of no interaction while playing, the overlay auto-dismisses and playback continues (currentTime still advancing); at 900ms it is still visible.","P1","surface: community feed
platform: mobile (iOS)
play_state: playing
overlay: visible
idle_timer_ms: 1000
clock: fake-timers / Playwright clock","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-008] [Video player] Verify overlay still visible at 900ms (never dismisses before 1s)","- the controls overlay is visible over a playing video / recorded LS
- no further user interaction occurs","1. Reveal the overlay while playing, take no action
2. Advance the idle timer to 900ms
3. Assert: the overlay is still visible at 900ms (not dismissed before the 1s bound)","At 900ms (just below the 1s bound) the overlay must still be visible — dismissing before 1s is a boundary failure.","P1","surface: community feed
platform: mobile (iOS)
play_state: playing
overlay: visible
elapsed_ms: 900
clock: fake-timers / Playwright clock","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-009] [Video player] Verify overlay dismisses at 1000ms not 3000ms (web 3s->1s regression guard)","- the controls overlay is visible over a playing video / recorded LS
- no further user interaction occurs","1. Reveal the overlay while playing, take no action
2. Advance the idle timer to 1000ms
3. Assert: the overlay is dismissed at 1000ms — not held until 3000ms (VideoPlayerControls.tsx:60-70)","The overlay must auto-dismiss at 1000ms, not 3000ms — web currently uses a 3s timer (VideoPlayerControls.tsx:60-70); any dismiss later than 1s fails the regression guard (iOS is already 1s).","P1","surface: community feed
platform: web
play_state: playing
overlay: visible
idle_timer_ms: 1000
web_legacy_timer_ms: 3000
clock: fake-timers / Playwright clock","wait for automated","QA (manual until automated)"
"PDT-3418/UC1a","[EC-UC1a-010] [Video player] Verify pause shows play icon + seek controls, paused overlay persists, tap-outside stays paused","- a video / recorded LS is playing with the controls overlay visible
- the central button's rendered hit-target is 64x64px (FU-2 resolved)","1. Tap the central pause button
2. Assert: video.paused is true — paused at the current position
3. Assert: the icon switched pause -> play and the PLAY icon remains visible
4. Assert: BOTH the -10s AND the +10s skip buttons remain visible (video/recorded component — BR-01)
5. Advance >1000ms (to 1500ms) with no interaction; Assert: the overlay persists (the paused branch has no idle auto-dismiss)
6. Tap outside the 64x64px central button; Assert: the overlay is dismissed AND video.paused is still true (the media did not resume)","On a playing video/recorded LS the central pause tap pauses playback at the current position and the play icon persists; the +/-10s seek controls remain visible; while paused the overlay persists past 1s (no idle auto-dismiss); a tap-outside dismisses the overlay and the media stays paused.","P1","surface: community feed
platform: mobile (iOS)
stream_type: video
play_state: playing -> paused
overlay: visible
hit_target: 64x64px
elapsed_ms: 1500","wait for automated","QA (manual until automated)"
