ID,Key,Name,Folder Path,Description,Preconditions,Steps,Expected Results,Priority,AC Covered,QA Responsibility
,,[ Reveal controls ] Verify first tap reveals the controls overlay without toggling playback,UC1a Reveal & pause (recorded video / LS),,"- A recorded video or recorded live stream (VOD) is open on the target device
- The controls overlay is hidden
- The video is playing","1. Observe the player before tapping
2. Tap the center of the screen once","- Before the first tap, no controls overlay is shown
- The first tap reveals the controls overlay
- Playback is unaffected — the video keeps playing
- The first tap is not a no-op and does not pause",P1,"UC1a AC-01, UC1a AC-07",Fai
,,[ Dismiss overlay ] Verify tapping outside the button dismisses the overlay without pausing,UC1a Reveal & pause (recorded video / LS),,"- A recorded video or recorded live stream (VOD) is open on the target device
- The controls overlay is hidden
- The video is playing","1. Reveal the controls overlay
2. Tap outside the center button (empty area)","- The controls overlay dismisses
- The video keeps playing
- Tapping outside never pauses the video",P2,UC1a AC-02,Fai
,,[ Auto-dismiss ] Verify the overlay auto-dismisses about 1 second after the last interaction,UC1a Reveal & pause (recorded video / LS),,"- A recorded video or recorded live stream (VOD) is open on the target device
- The controls overlay is hidden
- The video is playing","1. Reveal the controls overlay
2. Do not touch anything and wait","- The overlay auto-dismisses after about 1 second
- The overlay does not linger for 3 seconds",P2,UC1a AC-03,Fai
,,[ Pause ] Verify the center button pauses a recorded video and shows the seek controls,UC1a Reveal & pause (recorded video / LS),,"- A recorded video or recorded live stream (VOD) is open on the target device
- The controls overlay is hidden
- The video is playing","1. Reveal the controls overlay
2. Tap the center [ play/pause button ]","- The video pauses
- A [ play icon ] is shown
- The [ ±10s seek buttons ] are present (recorded content)
- The paused overlay persists",P1,"UC1a AC-02, UC1a AC-04, UC1b AC-04",Fai
,,[ Paused state ] Verify the paused overlay persists and tapping outside does not resume,UC1a Reveal & pause (recorded video / LS),,"- A recorded video or recorded live stream (VOD) is open on the target device
- The controls overlay is hidden
- The video is playing","1. Pause the video
2. Wait about 2 seconds without touching
3. Tap outside the button","- The paused overlay does not auto-dismiss on the 1s idle timer
- Tapping outside while paused does not resume playback
- The video stays paused",P3,UC1a AC-04,Fai
,,[ Resume ] Verify resuming continues from the exact paused position,UC1a Reveal & pause (recorded video / LS),"Recorded-LS resume position is an open assumption — observe, do not fail the case on it","- A recorded video or recorded live stream (VOD) is open on the target device
- The controls overlay is hidden
- The video is playing","1. Note the timecode where the video is paused
2. Tap the [ play button ] to resume","- Playback resumes from the same position
- The video does not restart from the beginning",P2,UC1a AC-05,Fai
,,[ Auto-dismiss ] Verify a control interaction resets the 1 second auto-dismiss countdown,UC1a Reveal & pause (recorded video / LS),,"- A recorded video or recorded live stream (VOD) is open on the target device
- The controls overlay is hidden
- The video is playing","1. Reveal the overlay
2. Wait about half a second, then tap a control once","- The interaction restarts the ~1s countdown
- The overlay stays visible because there was interaction",P3,UC1a AC-08,Fai
,,[ Race ] Verify a pause tap wins against the auto-dismiss timer,UC1a Reveal & pause (recorded video / LS),,"- A recorded video or recorded live stream (VOD) is open on the target device
- The controls overlay is hidden
- The video is playing","1. Reveal the overlay
2. Tap pause exactly as the overlay is about to dismiss","- The pause registers
- The expiring timer does not swallow the pause",P4,UC1a AC-09,Fai
,,[ Buffering ] Verify tapping during buffering shows the real loading state,UC1a Reveal & pause (recorded video / LS),,"- A recorded video or recorded live stream (VOD) is open on the target device
- The network can be throttled to force buffering","1. Throttle the network or seek to an unloaded point to force buffering
2. Tap the screen during buffering","- A real loading / buffering state is shown
- The center button does not show a false [ play icon ]",P3,UC1a AC-10,Fai
,,[ Backgrounding ] Verify backgrounding pauses playback and does not auto-resume,UC1a Reveal & pause (recorded video / LS),,"- A recorded video or recorded live stream (VOD) is open on the target device
- The controls overlay is hidden
- The video is playing","1. While playing, send the app to the background
2. Return to the foreground
3. Repeat while the video is paused","- Backgrounding while playing pauses via the OS and dismisses the overlay
- Returning to the foreground does not auto-resume
- Backgrounding while paused keeps it paused",P4,UC1a AC-11,Fai
