ID,Key,Name,Folder Path,Description,Preconditions,Steps,Expected Results,Priority,Configurations,AC Covered,QA Responsibility
,,"[ Tray content ] Verify the event-created tray item shows community avatar, title, event-type chip, start date and time, and unseen state",Tray · Content & rendering,Core content of the enriched event-created tray item (5-element spec). Icon = community avatar (not user avatar / not event thumbnail).,"- A community exists with an avatar set
- The signed-in user is an active, non-banned member of that community
- The Notification Tray is open on the target device","1. Have a moderator create a new event in the community
2. Open the Notification Tray on the recipient device
3. Locate the newly created event item","- The item icon is the COMMUNITY avatar (not the creator/user avatar and not an event thumbnail)
- The primary line reads ""[Community name] has event [Event name]""
- The secondary line shows an event-type chip followed by the event start date and start time
- The item is marked as unseen (unseen / primary-tint indicator)",P1,"iOS, Android, web-desktop, mobile-web",Tray AC-01,Fai
,,[ Tray content — deleted event ] Verify the tray item keeps the COMMUNITY avatar after its event is deleted,Tray · Content & rendering,"Sibling of [ Tray content ] — same 5-element spec, but exercised AFTER the event is deleted (isDeleted = true). BUG-I: on web-desktop & mobile-web the item icon swaps to a DIFFERENT avatar once the event is deleted (no longer the community avatar). Distinct from [ Deleted event ] (Navigation), which checks the tap destination, not how the item itself renders.","- An event-created tray item is visible and correctly shows the COMMUNITY avatar
- The signed-in user is an active, non-banned member of that community
- A moderator can delete the event","1. Confirm the fresh event item shows the community avatar as its icon
2. Have a moderator delete the event (isDeleted = true)
3. Refresh / re-open the Notification Tray
4. Re-locate the same event item and inspect its icon","- The item icon is STILL the COMMUNITY avatar — identical to before the deletion
- The icon is NOT swapped to the creator/user avatar, the event thumbnail, or any other image
- The rest of the item content (title, chip, date/time) remains as specified
- Known risk (BUG-I, web-desktop & mobile-web): after deletion the item shows a DIFFERENT avatar — that swap must FAIL this case",P2,"iOS, Android, web-desktop, mobile-web",Tray AC-01,Fai
,,[ Event type chip ] Verify the In-person and Virtual chips show the correct label and stay legible in light and dark theme,Tray · Content & rendering,"TR-CL-21 / DEC-05 (expected = legible in both themes, per-platform divergence accepted) + BUG-D (Android chip white-on-white in LIGHT theme). Virtual == livestream (no third chip state).","- A test community is available for creating both In-person and Virtual (livestream) events
- The target device/app supports both light and dark theme","1. Create an In-person event and open its tray item
2. Create a Virtual / livestream event and open its tray item
3. View each item in LIGHT theme
4. View each item in DARK theme","- The In-person event shows a chip labelled ""In-person""
- The Virtual / livestream event shows a chip labelled ""Virtual"" (there is no third chip type)
- The chip text is legible (sufficient contrast) in LIGHT theme on every platform
- The chip text is legible in DARK theme on every platform
- Known risk (BUG-D): on Android the chip may render white-on-white in light theme — this must FAIL the legibility check",P2,"iOS, Android, web-desktop, mobile-web","Tray AC-02, Tray AC-03",Fai
,,[ Start time timezone ] Verify the tray date and time render in the viewer's local timezone (matching event cards and event detail),Tray · Content & rendering,"TR-CL-05 REVERSED 2026-07-21 (PM, after dev input): the tray follows existing UIKit behavior and shows the start time in the VIEWER's LOCAL timezone — same as event cards / event detail pages — NOT the event's own timezone. BUG-B1 is therefore RETRACTED: device-local is the intended behavior.","- Create an event and, in the timezone picker (shown as a GMT offset), select GMT-5 (e.g. New York / Eastern); set the start time to 7:00 PM on 10 Jul 2026
- Set the viewer's device timezone to GMT+7 (e.g. Bangkok)","1. Create the GMT-5 event as described
2. On the GMT+7 device, open the event-created tray item
3. Compare with the same event's start time on the event card / event detail page","- The tray shows the start time converted to the VIEWER's local (GMT+7) timezone — i.e. 7:00 AM on 11 Jul 2026
- This matches how the same event's start time is shown on the event card and the event detail page (all viewer-local)
- It does NOT show the event's source-timezone wall-clock (must NOT show 7:00 PM on 10 Jul)",P3,"iOS, Android, web-desktop, mobile-web",Tray AC-01,Fai
,,[ Timestamp & separator ] Verify the relative notification timestamp renders and the date/time has no middle-dot separator,Tray · Content & rendering,TR-CL-19 (relative timestamp is tray chrome) + TR-CL-18 (no '·' separator — the PRD copy with a dot is wrong).,- An event-created tray item is visible,"1. Observe the item's notification timestamp (corner / top)
2. Observe the secondary line between the date and the time","- A relative timestamp is shown (e.g. Just now / 2m / 10h / a date)
- There is NO '·' middle-dot separator between the date and the time
- Date and time are separated by spacing only (per current design, not the PRD copy)",P3,"iOS, Android, web-desktop, mobile-web",Tray AC-01,Fai
,,[ Avatar fallback & truncation ] Verify the community-avatar fallback and long-name handling per platform,Tray · Content & rendering,TR-CL-15. Per-platform truncation differs and is accepted (Web/iOS wrap; Android ellipsizes ~3 lines).,"- A community with NO avatar set
- A community and event with very long names","1. Trigger a tray item for the community that has no avatar
2. Trigger a tray item with very long community and event names","- The no-avatar community shows a fallback (Web = community glyph, iOS = initials, Android = placeholder) — never a broken/empty icon
- Long names do not break the layout or overlap other elements
- Truncation may differ per platform (Web/iOS wrap; Android ellipsizes ~3 lines) — accepted as long as readable",P4,"iOS, Android, web-desktop, mobile-web",Tray AC-01,Fai
,,"[ Public audience ] Verify a public-community event notifies the entire network including non-members, with no duplicate item",Tray · Audience & privacy,AC-04 network-wide incl non-members (DEC-03) + TR-CL-14 dedup (UNION → 1 item). Needs >=3 accounts.,"- A PUBLIC community
- Account A = active member of that community
- Account B = active network user who is NOT a member of that community
- Account C = the event creator","1. As Account C, create an event in the public community
2. Open the tray on Account A (member)
3. Open the tray on Account B (non-member network user)
4. Check Account A for duplicate items","- Account A (member) receives ONE event-created tray item
- Account B (non-member network user) ALSO receives the item, with the same content (community name shown even though B is not a member)
- Account A sees only ONE item (a member who is also in the network is de-duplicated, not shown twice)
- The creator (Account C) does NOT receive an item for their own event",P1,"iOS, Android, web-desktop, mobile-web",Tray AC-04,Fai
,,"[ Private audience ] Verify a private-community event notifies only active, non-banned members",Tray · Audience & privacy,AC-05. Private = members-only; non-members and banned members excluded.,"- A PRIVATE community
- Account A = active member
- Account B = network user who is NOT a member
- Account D = a member who is community-banned","1. Create an event in the private community
2. Open the tray on Account A (member)
3. Open the tray on Account B (non-member)
4. Open the tray on Account D (banned member)","- Account A (active member) receives the item
- Account B (non-member) does NOT receive the item
- Account D (banned member) does NOT receive the item
- The creator does not receive their own item",P2,"iOS, Android, web-desktop, mobile-web",Tray AC-05,Fai
,,"[ Exclusions ] Verify creator, banned, and blocked users are excluded at send and hidden at read",Tray · Audience & privacy,"TR-CL-08 creator + TR-CL-17 ban/leave after receive (hide at read, node kept) + TR-CL-24 user-block bidirectional.","- An event created in a community
- A recipient who will be banned after receiving
- A recipient who has a block relationship with the creator (either direction)","1. Create the event and confirm eligible members received the item
2. Ban a recipient (global or community) and re-open their tray
3. Set up a block between a recipient and the creator, then create another event","- The creator never receives their own event item
- A user banned AFTER receiving no longer sees the item on next read (hidden at read; node not deleted)
- Un-banning / re-joining within retention restores visibility
- If the recipient and creator have a block relationship (either direction), the item is suppressed",P3,"iOS, Android, web-desktop, mobile-web","Tray AC-04, Tray AC-05",Fai
,,[ Block after notify ] Verify blocking after a notification was delivered blocks the recipient's access on tap,Tray · Audience & privacy,"TR-CL-29 Scenario A / DEC-08 (new scope, blocking extended to events, bidirectional). Different timing than [ Exclusions ], which covers a block made BEFORE the event is created.","- User A and User B are not blocked
- User A creates an event in a shared community and User B receives the event-created tray item
- User A then blocks User B (or User B blocks User A)","1. As User B, open the Notification Tray
2. Tap the event's tray item that was received before the block","- User B lands on a no-access state, even though the notification was delivered before the block existed",P2,"iOS, Android, web-desktop, mobile-web","Tray AC-04, Tray AC-05",Fai
